07/07/2016 - 09:34:02 PM	TP PVT 7598 Duck(TP PVT) said 'tp me to spawn'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:03 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:03 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:03 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:03 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:03 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:04 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:34:04 PM	MED REG COMM Ethan(Recruit) entered 'gm_giveswep'
07/07/2016 - 09:34:04 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:34:06 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:34:06 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:34:07 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:07 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:34:07 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:07 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:07 PM	[HURT] MED REG COMM Ethan(Recruit) hurt ST PVT 2410 Roy(StormTrooperPVT) with 6 damage using weapon_752bf3_e11
07/07/2016 - 09:34:07 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:08 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:34:09 PM	Bobba Fett(Boba Fett) used 'creator'
